"Time","CV_VL_CALC","CV_VL_MAP"
2024-11-28 00:15:00,3.71,3.85
2024-11-28 00:20:00,3.70,3.85
2024-11-28 00:25:00,4.30,5.81
2024-11-28 00:30:00,4.31,5.82
2024-11-28 00:35:00,3.80,5.82
2024-11-28 00:40:00,6.16,6.41
2024-11-28 00:45:00,5.56,5.81
2024-11-28 00:50:00,5.79,5.82
2024-11-28 00:55:00,5.55,5.82
2024-11-28 01:00:00,5.57,5.81
2024-11-28 01:05:00,5.54,5.82
2024-11-28 01:10:00,5.55,5.82
2024-11-28 01:15:00,5.52,5.82
2024-11-28 01:20:00,5.53,5.82
2024-11-28 01:25:00,4.90,6.02
2024-11-28 01:30:00,4.90,6.02
2024-11-28 01:35:00,4.90,6.02
2024-11-28 01:40:00,4.90,6.02
2024-11-28 01:45:00,4.90,6.02
2024-11-28 01:50:00,4.88,6.01
2024-11-28 01:55:00,4.87,6.01
2024-11-28 02:00:00,4.89,6.02
2024-11-28 02:05:00,4.89,6.02
2024-11-28 02:10:00,4.86,6.02
2024-11-28 02:15:00,4.87,6.02
2024-11-28 02:20:00,4.88,6.02
2024-11-28 02:25:00,6.09,6.02
2024-11-28 02:30:00,6.26,6.01
2024-11-28 02:35:00,6.09,6.02
2024-11-28 02:40:00,6.08,6.02
2024-11-28 02:45:00,6.68,6.63
2024-11-28 02:50:00,6.68,6.63
2024-11-28 02:55:00,6.67,6.63
2024-11-28 03:00:00,6.68,6.63
2024-11-28 03:05:00,6.68,6.63
2024-11-28 03:10:00,6.67,6.79
2024-11-28 03:15:00,6.89,6.79
2024-11-28 03:20:00,7.26,6.79
2024-11-28 03:25:00,7.29,6.79
2024-11-28 03:30:00,6.66,6.79
2024-11-28 03:35:00,6.72,7.61
2024-11-28 03:40:00,7.25,7.61
2024-11-28 03:45:00,8.26,8.13
2024-11-28 03:50:00,8.36,8.13
2024-11-28 03:55:00,8.46,8.13
2024-11-28 04:00:00,8.48,8.13
2024-11-28 04:05:00,9.69,11.0
2024-11-28 04:10:00,9.65,11.0
2024-11-28 04:15:00,11.8,11.0
2024-11-28 04:20:00,11.4,11.0
2024-11-28 04:25:00,11.4,11.0
2024-11-28 04:30:00,13.2,15.1
2024-11-28 04:35:00,13.2,15.2
2024-11-28 04:40:00,13.2,15.2
2024-11-28 04:45:00,17.3,16.7
2024-11-28 04:50:00,16.8,16.7
2024-11-28 04:55:00,16.8,16.7
2024-11-28 05:00:00,16.9,16.7
2024-11-28 05:05:00,17.4,16.7
2024-11-28 05:10:00,19.7,19.9
2024-11-28 05:15:00,23.3,27.0
2024-11-28 05:20:00,26.9,27.0
2024-11-28 05:25:00,30.6,34.7
2024-11-28 05:30:00,30.6,34.7
2024-11-28 05:35:00,33.5,35.6
2024-11-28 05:40:00,37.9,42.0
2024-11-28 05:45:00,37.8,41.9
2024-11-28 05:50:00,41.1,48.3
2024-11-28 05:55:00,47.9,48.2
2024-11-28 06:00:00,48.0,48.3
2024-11-28 06:05:00,48.1,48.3
2024-11-28 06:10:00,54.1,54.3
2024-11-28 06:15:00,60.4,60.2
2024-11-28 06:20:00,61.6,66.9
2024-11-28 06:25:00,64.7,70.1
2024-11-28 06:30:00,73.0,71.3
2024-11-28 06:35:00,73.0,71.3
2024-11-28 06:40:00,77.2,81.2
2024-11-28 06:45:00,77.3,81.1
2024-11-28 06:50:00,77.8,82.3
2024-11-28 06:55:00,83.6,82.2
2024-11-28 07:00:00,84.7,88.8
2024-11-28 07:05:00,92.0,89.9
2024-11-28 07:10:00,94.0,90.9
2024-11-28 07:15:00,90.3,93.1
2024-11-28 07:20:00,95.3,93.1
2024-11-28 07:25:00,95.5,93.2
2024-11-28 07:30:00,96.2,99.7
2024-11-28 07:35:00,96.2,99.7
2024-11-28 07:40:00,96.6,98.5
2024-11-28 07:45:00,98.0,99.7
2024-11-28 07:50:00,102,101
2024-11-28 07:55:00,103,101
2024-11-28 08:00:00,99.4,95.4
2024-11-28 08:05:00,105,103
2024-11-28 08:10:00,101,105
2024-11-28 08:15:00,101,105
2024-11-28 08:20:00,103,106
2024-11-28 08:25:00,103,106
2024-11-28 08:30:00,104,108
2024-11-28 08:35:00,104,108
2024-11-28 08:40:00,105,108
2024-11-28 08:45:00,105,108
2024-11-28 08:50:00,104,108
2024-11-28 08:55:00,104,108
2024-11-28 09:00:00,105,108
